
"TA2ID;English;Latin;Français;Español;Portugues;Italiano;Parsi"
"1;General terms;Termini generales;Termes généraux;Términos generales;Termos gerais;Termini generali;واژه های همگانی"
"2;Vertical;Verticalis;Vertical;Vertical;Vertical;Verticale;تاری-درازا"
"3;Horizontal;Horizontalis;Horizontal;Horizontal;Horizontal;Orizzontale;پودی"
"4;Median;Medianus;Médian;Mediano;Mediana;Mediano;میانی"
"5;Coronal;Coronalis;Coronal;Coronal;Coronal;Coronale;دیهیمی"
"6;Sagittal;Sagittalis;Sagittal;Sagital;Sagital;Sagittale;درزی"
"7;Right;Dexter;Droite;Derecho;Direito;Destro;راست"
"8;Left;Sinister;Gauche;Izquierdo;Esquerda;Sinistro;چپ"
"9;Intermediate;Intermedius;Intermédiaire;Intermedio;Intermediário;Intermedio;بینابین"
"10;Medial;Medialis;Médial;Medial;Medial;Mediale;درونی"
"11;Lateral;Lateralis;Latéral;Lateral;Lateral;Laterale;بیرونی"
"12;Anterior;Anterior;Antérieur;Anterior;Anterior;Anteriore;جلو- شکمی"
"13;Posterior;Posterior;Postérieur;Posterior;Posterior;Posteriore;پشتی -پشت."
"14;Ventral;Ventralis;Ventral;Ventral;Ventral;Ventrale;شکمی"
"15;Dorsal;Dorsalis;Dorsal;Dorsal;Dorsal;Dorsale;پشتی -پشت"
"16;Frontal;Frontalis;Frontal;Frontal;Frontal;Frontale;پیشانی@"
"17;Occipital;Occipitalis;.Occipital;Occipital;Occipital;Occipitale;پس سر-پس سری"
"18;Superior;Superior;Supérieur;Superior;Superior;Superiore;بالا -سری"
"19;Inferior;Inferior;Inférieur;Inferior;Inferior;Inferiore;پایین -دمی"
"20;Cranial;Cranialis;Cranial;Craneal;Craniano;Craniale;سری."
"21;Caudal;Caudalis;Caudal;Caudal;Caudal;Caudale;دمی."
"22;Rostral;Rostralis;Rostral;Rostral;Rostral;Rostrale;سری- نوکی"
"23;Apical;Apicalis;Apical;Apical;Apical;Apicale;راسی"
"24;Basal;Basalis;Basal;Basal;Basal;Basale;پایه"
"25;Middle;Medius;Moyen;Medio;Meio;Medio;میانه"
"26;Transverse;Transversus;Transverse;Transverso;Transversal;Trasverso;پودی."
"27;Longitudinal;Longitudinalis;Longitudinal;Longitudinal;Longitudinal;Longitudinale;تاری-درازا."
"28;Axial;Axialis;Axial;Axial;Axial;Assiale;آسه ای"
"29;External;Externus;Externe;Externo;Externo;Esterno;بیرونی."
